id,tenant_id,contact_id,name,description,category,pricing_type,unit_price,hourly_rate,monthly_price,tax_rate,taxable,currency,is_active,times_used,total_revenue,tags,created_at,created_by
3e896939-eb91-45c0-90d0-6eb00855255a,6e2684b5-dd18-4549-8440-7276b577d2b5,,Strategy Consulting,Professional email campaign management service,implementation,hourly,,120.53,,5,True,USD,True,75,30729.43,"['pricing_page', 'enterprise']",2026-01-23T22:54:05.831337,7223e10a-b124-4a7f-a342-f0f59020ba2f
5ccb218e-0eb1-4c55-b3fb-8be4ac22c4a1,6e2684b5-dd18-4549-8440-7276b577d2b5,,Workflow Optimization,Professional performance review service,support,fixed,201.89,,,0,False,USD,True,84,31245.13,[],2026-06-14T07:15:29.831387,9d990953-1d48-4691-9104-88f3d84dc63c
1f263f0c-82b1-44e5-a6d7-462f1ff2066f,6e2684b5-dd18-4549-8440-7276b577d2b5,1d0f7ed0-a587-4008-b600-1b06fa73c1ac,Training Workshop,Professional crm implementation service,training,monthly,,,1475.0,0,True,USD,True,94,16987.53,[],2026-05-10T23:45:49.831442,f26bd177-029d-4863-993c-dfebe5004897
1185819b-194a-46be-af31-2fd4d5b59ea5,6e2684b5-dd18-4549-8440-7276b577d2b5,,Performance Review,Professional seo optimization service,support,hourly,,147.61,,0,True,USD,True,63,28571.79,"['at_risk', 'new_market']",2025-10-04T15:43:54.831468,876017f1-7629-48e0-9ce9-20b44276c7d6
ec523d5e-f4b4-4096-8d2d-bc4b990aed60,6e2684b5-dd18-4549-8440-7276b577d2b5,,Performance Review,Professional training workshop service,implementation,monthly,,,2932.57,0,True,USD,True,23,7567.36,['cross_sell'],2025-11-22T10:04:26.831492,876017f1-7629-48e0-9ce9-20b44276c7d6
dd99652b-e75d-4742-be23-75cacfa5279e,6e2684b5-dd18-4549-8440-7276b577d2b5,,CRM Implementation,Professional analytics setup service,development,project,,,,5,True,USD,True,83,41150.85,"['at_risk', 'win_back']",2026-07-04T19:21:53.831515,7223e10a-b124-4a7f-a342-f0f59020ba2f
3eac17c9-f983-46bf-bbd3-4c06245aa44c,6e2684b5-dd18-4549-8440-7276b577d2b5,c740ff9b-9bd8-4809-8ca9-f009dbbde50c,Security Audit,Professional crm implementation service,training,monthly,,,4498.7,0,True,USD,True,1,25445.98,[],2026-07-14T08:50:10.831537,d53e375b-e751-4c1c-9dd2-2c198336f144
1163afda-d1a3-435e-8876-cf5a32ed6994,6e2684b5-dd18-4549-8440-7276b577d2b5,,Integration Setup,Professional email campaign management service,development,monthly,,,3677.73,0,True,USD,True,43,4345.19,"['at_risk', 'demo']",2026-07-31T20:08:32.831567,7675c849-0f1f-4fa3-923c-f392ea4a2f35
949f814c-ac62-4a9c-87d6-fcd90e0499ed,6e2684b5-dd18-4549-8440-7276b577d2b5,,Technical Support,Professional performance review service,development,fixed,295.57,,,10,True,USD,True,39,44973.42,"['low_priority', 'existing_customer']",2025-08-15T19:41:52.831592,1f599b2d-4c19-4c7e-91e2-f8655b60b03d
a162f0f8-aaa9-41ac-bb0c-9c0f2d9e8959,6e2684b5-dd18-4549-8440-7276b577d2b5,,Strategy Consulting,Professional technical support service,development,monthly,,,4389.95,5,True,USD,False,8,1848.65,['vip'],2026-02-26T22:27:03.831614,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
